#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3294297408 ; 7.5042 ; 3.30658 ; 0 ; 0
3294401408 ; 7.50907 ; 3.30566 ; 0 ; 0
3294503408 ; 7.51029 ; 3.30772 ; 0 ; 0
3294603408 ; 7.5042 ; 3.30605 ; 0 ; 0
3294695408 ; 7.48716 ; 3.30757 ; 0 ; 0
3294797408 ; 7.47863 ; 3.30559 ; 0 ; 0
3294889408 ; 9.18551 ; 3.30635 ; 0 ; 0
3294993408 ; 7.49203 ; 3.30597 ; 0 ; 0
3295088408 ; 7.48716 ; 3.30605 ; 0 ; 0
3295189408 ; 7.49568 ; 3.30688 ; 0 ; 0
3295288408 ; 29.5231 ; 3.30704 ; 0 ; 0
3295392408 ; 7.4969 ; 3.30635 ; 0 ; 0
3295501408 ; 29.1615 ; 3.30742 ; 0 ; 0
3295602408 ; 7.49081 ; 3.30612 ; 0 ; 0
3295704408 ; 7.51029 ; 3.30589 ; 0 ; 0
3295803408 ; 7.4835 ; 3.3062 ; 0 ; 0
3295907408 ; 7.49933 ; 3.30605 ; 0 ; 0
3296005408 ; 7.50785 ; 3.30635 ; 0 ; 0
3296104408 ; 7.52003 ; 3.30589 ; 0 ; 0
3296209408 ; 7.5042 ; 3.30574 ; 0 ; 0
3296312408 ; 7.50055 ; 3.30605 ; 0 ; 0
3296425408 ; 7.51029 ; 3.30612 ; 0 ; 0
3296524408 ; 7.49811 ; 3.30612 ; 0 ; 0
3296627408 ; 7.51029 ; 3.3062 ; 0 ; 0
3296725408 ; 7.49081 ; 3.3062 ; 0 ; 0
3296827408 ; 7.51272 ; 3.30551 ; 0 ; 0
3296932408 ; 7.49933 ; 3.30627 ; 0 ; 0
3297035408 ; 7.49324 ; 3.30635 ; 0 ; 0
3297136408 ; 40.2794 ; 3.31146 ; 0 ; 0
3297239408 ; 34.3942 ; 3.31161 ; 0 ; 0
3297343408 ; 35.8271 ; 3.31161 ; 0 ; 0
3297442408 ; 28.1364 ; 3.31169 ; 0 ; 0
3297546408 ; 34.7424 ; 3.31177 ; 0 ; 0
3297650408 ; 28.6685 ; 3.31123 ; 0 ; 0
3297748408 ; 29.5779 ; 3.31108 ; 0 ; 0
3297852408 ; 30.0466 ; 3.31154 ; 0 ; 0
3297957408 ; 32.2076 ; 3.31161 ; 0 ; 0
3298061408 ; 28.974 ; 3.31078 ; 0 ; 0
3298172408 ; 32.0968 ; 3.31146 ; 0 ; 0
3298273408 ; 31.9848 ; 3.31154 ; 0 ; 0
3298384408 ; 50.355 ; 3.31299 ; 0 ; 0
3298483408 ; 33.1304 ; 3.31154 ; 0 ; 0
3298585408 ; 31.6257 ; 3.31123 ; 0 ; 0
3298689408 ; 29.304 ; 3.31093 ; 0 ; 0
3298791408 ; 48.6494 ; 3.3123 ; 0 ; 0
3298893408 ; 32.6008 ; 3.31177 ; 0 ; 0
3298993408 ; 31.079 ; 3.31207 ; 0 ; 0
3299098408 ; 33.1037 ; 3.31161 ; 0 ; 0
3299202408 ; 48.6591 ; 3.31169 ; 0 ; 0
3299304408 ; 33.5712 ; 3.31131 ; 0 ; 0
3299407408 ; 32.0408 ; 3.31154 ; 0 ; 0
3299512408 ; 33.7148 ; 3.31192 ; 0 ; 0
3299615408 ; 46.8427 ; 3.31291 ; 0 ; 0
3299716408 ; 32.9977 ; 3.31161 ; 0 ; 0
3299822408 ; 31.9386 ; 3.31139 ; 0 ; 0
3299919408 ; 31.7072 ; 3.31123 ; 0 ; 0
3300018408 ; 32.5059 ; 3.31146 ; 0 ; 0
3300113408 ; 32.988 ; 3.31169 ; 0 ; 0
3300217408 ; 32.7104 ; 3.31123 ; 0 ; 0
3300321408 ; 31.9739 ; 3.31207 ; 0 ; 0
3300424408 ; 32.3756 ; 3.31161 ; 0 ; 0
3300528408 ; 32.5461 ; 3.31215 ; 0 ; 0
3300632408 ; 30.2646 ; 3.31238 ; 0 ; 0
3300741408 ; 31.9568 ; 3.31192 ; 0 ; 0
3300847408 ; 32.3939 ; 3.31131 ; 0 ; 0
3300948408 ; 33.3082 ; 3.31131 ; 0 ; 0
3301053408 ; 31.8059 ; 3.31131 ; 0 ; 0
3301164408 ; 31.8923 ; 3.31192 ; 0 ; 0
3301279408 ; 29.0142 ; 3.31177 ; 0 ; 0
3301381408 ; 31.5429 ; 3.31223 ; 0 ; 0
3301484408 ; 31.6293 ; 3.31161 ; 0 ; 0
3301588408 ; 33.6333 ; 3.31146 ; 0 ; 0
3301690408 ; 29.024 ; 3.31161 ; 0 ; 0
3301789408 ; 31.1399 ; 3.31139 ; 0 ; 0
3301890408 ; 29.0812 ; 3.31131 ; 0 ; 0
3301983408 ; 31.2641 ; 3.31131 ; 0 ; 0
3302096408 ; 31.2434 ; 3.31299 ; 0 ; 0
3302203408 ; 32.3342 ; 3.311 ; 0 ; 0
3302305408 ; 33.4823 ; 3.31161 ; 0 ; 0
3302416408 ; 33.5188 ; 3.31131 ; 0 ; 0
3302517408 ; 32.4645 ; 3.31169 ; 0 ; 0
3302619408 ; 31.7048 ; 3.31169 ; 0 ; 0
3302720408 ; 33.6503 ; 3.31123 ; 0 ; 0
3302822408 ; 32.6069 ; 3.31154 ; 0 ; 0
3302930408 ; 32.1674 ; 3.31139 ; 0 ; 0
3303037408 ; 32.641 ; 3.31131 ; 0 ; 0
3303142408 ; 34.0399 ; 3.31146 ; 0 ; 0
3303246408 ; 32.7932 ; 3.31154 ; 0 ; 0
