#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
171471000 ; 31.7201 ; 3.30193 ; 0 ; 0
171572000 ; 30.8569 ; 3.302 ; 0 ; 0
171676000 ; 24.9048 ; 3.30109 ; 0 ; 0
171773000 ; 31.501 ; 3.3033 ; 0 ; 0
171871000 ; 32.9485 ; 3.30139 ; 0 ; 0
171977000 ; 8.96218 ; 3.30101 ; 0 ; 0
172077000 ; 8.94392 ; 3.29994 ; 0 ; 0
172186000 ; 33.097 ; 3.29994 ; 0 ; 0
172286000 ; 9.02062 ; 3.30009 ; 0 ; 0
172391000 ; 9.03888 ; 3.2988 ; 0 ; 0
172495000 ; 9.02184 ; 3.29903 ; 0 ; 0
172597000 ; 9.04619 ; 3.29987 ; 0 ; 0
172696000 ; 9.04254 ; 3.29903 ; 0 ; 0
172795000 ; 23.0944 ; 3.29933 ; 0 ; 0
172895000 ; 9.04984 ; 3.2991 ; 0 ; 0
172996000 ; 29.4508 ; 3.29903 ; 0 ; 0
173094000 ; 9.03523 ; 3.29987 ; 0 ; 0
173193000 ; 28.9893 ; 3.3004 ; 0 ; 0
173302000 ; 9.05228 ; 3.30055 ; 0 ; 0
173404000 ; 28.8895 ; 3.29926 ; 0 ; 0
173507000 ; 9.02549 ; 3.29895 ; 0 ; 0
173612000 ; 29.1586 ; 3.2988 ; 0 ; 0
173715000 ; 9.04741 ; 3.29895 ; 0 ; 0
173816000 ; 28.7933 ; 3.29903 ; 0 ; 0
173910000 ; 9.03645 ; 3.29865 ; 0 ; 0
174014000 ; 9.03523 ; 3.29842 ; 0 ; 0
174114000 ; 9.04375 ; 3.29826 ; 0 ; 0
174215000 ; 9.02184 ; 3.29834 ; 0 ; 0
174319000 ; 32.5687 ; 3.30254 ; 0 ; 0
174418000 ; 9.04497 ; 3.29987 ; 0 ; 0
174514000 ; 9.05958 ; 3.29918 ; 0 ; 0
174624000 ; 9.04254 ; 3.29979 ; 0 ; 0
174721000 ; 9.03158 ; 3.30109 ; 0 ; 0
174824000 ; 9.04619 ; 3.29895 ; 0 ; 0
174930000 ; 9.02549 ; 3.29903 ; 0 ; 0
175044000 ; 9.03888 ; 3.29956 ; 0 ; 0
175147000 ; 20.2943 ; 3.29887 ; 0 ; 0
175243000 ; 9.02427 ; 3.29842 ; 0 ; 0
175342000 ; 9.03401 ; 3.29826 ; 0 ; 0
175444000 ; 9.02793 ; 3.29849 ; 0 ; 0
175547000 ; 29.2085 ; 3.29987 ; 0 ; 0
175656000 ; 9.04375 ; 3.29918 ; 0 ; 0
175759000 ; 9.03401 ; 3.29834 ; 0 ; 0
175861000 ; 9.04132 ; 3.30025 ; 0 ; 0
175964000 ; 29.1476 ; 3.2988 ; 0 ; 0
176055000 ; 9.03888 ; 3.29918 ; 0 ; 0
176157000 ; 12.5159 ; 3.29834 ; 0 ; 0
176260000 ; 9.04619 ; 3.29849 ; 0 ; 0
176360000 ; 9.03401 ; 3.29994 ; 0 ; 0
176452000 ; 9.03767 ; 3.29857 ; 0 ; 0
176542000 ; 9.01819 ; 3.29872 ; 0 ; 0
176640000 ; 9.0401 ; 3.29857 ; 0 ; 0
176739000 ; 9.04984 ; 3.29834 ; 0 ; 0
176842000 ; 9.02793 ; 3.29895 ; 0 ; 0
176935000 ; 9.01332 ; 3.29987 ; 0 ; 0
177032000 ; 28.8615 ; 3.2991 ; 0 ; 0
177136000 ; 9.03888 ; 3.29903 ; 0 ; 0
177248000 ; 9.02793 ; 3.29857 ; 0 ; 0
177352000 ; 9.04741 ; 3.29948 ; 0 ; 0
177456000 ; 29.2414 ; 3.2988 ; 0 ; 0
177555000 ; 9.04619 ; 3.2991 ; 0 ; 0
177647000 ; 9.04619 ; 3.2988 ; 0 ; 0
177750000 ; 9.04619 ; 3.29857 ; 0 ; 0
177855000 ; 9.04254 ; 3.29826 ; 0 ; 0
177959000 ; 9.03401 ; 3.29826 ; 0 ; 0
178060000 ; 9.03767 ; 3.29865 ; 0 ; 0
178160000 ; 9.04375 ; 3.29819 ; 0 ; 0
178259000 ; 9.03888 ; 3.29872 ; 0 ; 0
178367000 ; 9.06201 ; 3.29895 ; 0 ; 0
178468000 ; 9.0328 ; 3.29903 ; 0 ; 0
178577000 ; 9.04984 ; 3.29895 ; 0 ; 0
178678000 ; 9.0194 ; 3.29903 ; 0 ; 0
178780000 ; 9.03888 ; 3.29857 ; 0 ; 0
178881000 ; 9.0328 ; 3.29865 ; 0 ; 0
178982000 ; 9.0401 ; 3.29903 ; 0 ; 0
179088000 ; 9.03645 ; 3.29887 ; 0 ; 0
179194000 ; 29.0173 ; 3.29887 ; 0 ; 0
179297000 ; 9.03888 ; 3.29895 ; 0 ; 0
179400000 ; 9.03523 ; 3.29918 ; 0 ; 0
179504000 ; 9.03767 ; 3.29819 ; 0 ; 0
179608000 ; 9.03888 ; 3.29941 ; 0 ; 0
179708000 ; 9.0194 ; 3.29887 ; 0 ; 0
179809000 ; 9.03401 ; 3.2988 ; 0 ; 0
179913000 ; 9.02427 ; 3.30017 ; 0 ; 0
180013000 ; 28.8384 ; 3.29849 ; 0 ; 0
180114000 ; 9.04862 ; 3.29819 ; 0 ; 0
180213000 ; 19.2363 ; 3.2988 ; 0 ; 0
180322000 ; 9.04619 ; 3.29849 ; 0 ; 0
180426000 ; 9.70361 ; 3.2988 ; 0 ; 0
180526000 ; 9.0328 ; 3.29895 ; 0 ; 0
180628000 ; 9.03645 ; 3.29887 ; 0 ; 0
180743000 ; 9.03645 ; 3.29842 ; 0 ; 0
180841000 ; 9.04619 ; 3.29857 ; 0 ; 0
180941000 ; 9.04984 ; 3.2991 ; 0 ; 0
181045000 ; 9.04132 ; 3.29727 ; 0 ; 0
181145000 ; 9.03401 ; 3.29933 ; 0 ; 0
181237000 ; 9.03158 ; 3.2988 ; 0 ; 0
181338000 ; 9.0401 ; 3.29849 ; 0 ; 0
181432000 ; 9.02062 ; 3.29819 ; 0 ; 0
181534000 ; 28.9906 ; 3.29895 ; 0 ; 0
181644000 ; 9.03036 ; 3.29811 ; 0 ; 0
181743000 ; 29.2255 ; 3.29948 ; 0 ; 0
181833000 ; 9.0328 ; 3.29941 ; 0 ; 0
181932000 ; 9.03036 ; 3.29872 ; 0 ; 0
182028000 ; 32.4579 ; 3.30055 ; 0 ; 0
182129000 ; 9.03767 ; 3.29842 ; 0 ; 0
182232000 ; 9.05349 ; 3.29887 ; 0 ; 0
182338000 ; 9.02671 ; 3.29842 ; 0 ; 0
182441000 ; 9.03888 ; 3.29865 ; 0 ; 0
182544000 ; 9.02671 ; 3.29811 ; 0 ; 0
182652000 ; 9.03036 ; 3.29842 ; 0 ; 0
182756000 ; 9.03158 ; 3.29758 ; 0 ; 0
182846000 ; 9.05836 ; 3.29926 ; 0 ; 0
182955000 ; 9.0401 ; 3.29826 ; 0 ; 0
183048000 ; 9.03158 ; 3.29872 ; 0 ; 0
183148000 ; 9.03401 ; 3.30032 ; 0 ; 0
183258000 ; 9.03645 ; 3.29842 ; 0 ; 0
183355000 ; 9.03523 ; 3.29819 ; 0 ; 0
183456000 ; 29.1647 ; 3.29948 ; 0 ; 0
183557000 ; 9.03888 ; 3.29834 ; 0 ; 0
183650000 ; 9.04984 ; 3.29834 ; 0 ; 0
183750000 ; 9.03767 ; 3.29948 ; 0 ; 0
183857000 ; 28.7239 ; 3.29895 ; 0 ; 0
183950000 ; 9.05106 ; 3.29834 ; 0 ; 0
184046000 ; 9.03036 ; 3.29849 ; 0 ; 0
184147000 ; 9.04375 ; 3.29918 ; 0 ; 0
184247000 ; 9.03036 ; 3.2988 ; 0 ; 0
184346000 ; 30.4332 ; 3.29918 ; 0 ; 0
184446000 ; 9.03888 ; 3.2988 ; 0 ; 0
184548000 ; 11.0915 ; 3.29895 ; 0 ; 0
184648000 ; 9.04619 ; 3.29956 ; 0 ; 0
184753000 ; 9.04132 ; 3.29819 ; 0 ; 0
184854000 ; 9.04619 ; 3.30124 ; 0 ; 0
184960000 ; 9.04984 ; 3.29857 ; 0 ; 0
185068000 ; 9.04254 ; 3.29865 ; 0 ; 0
185182000 ; 9.02793 ; 3.29842 ; 0 ; 0
185281000 ; 9.02306 ; 3.29803 ; 0 ; 0
185383000 ; 9.03036 ; 3.29857 ; 0 ; 0
185486000 ; 9.03523 ; 3.29887 ; 0 ; 0
185586000 ; 29.6163 ; 3.30017 ; 0 ; 0
185690000 ; 9.04375 ; 3.29895 ; 0 ; 0
185788000 ; 9.05349 ; 3.29834 ; 0 ; 0
185900000 ; 9.02793 ; 3.29903 ; 0 ; 0
186000000 ; 9.04497 ; 3.29872 ; 0 ; 0
186108000 ; 9.0328 ; 3.29872 ; 0 ; 0
186214000 ; 29.2012 ; 3.2988 ; 0 ; 0
186314000 ; 9.04132 ; 3.29926 ; 0 ; 0
186411000 ; 33.6741 ; 3.30109 ; 0 ; 0
186508000 ; 9.05106 ; 3.30017 ; 0 ; 0
186610000 ; 9.03523 ; 3.29948 ; 0 ; 0
186711000 ; 9.02306 ; 3.2988 ; 0 ; 0
186811000 ; 9.03401 ; 3.29895 ; 0 ; 0
186916000 ; 9.04254 ; 3.29903 ; 0 ; 0
187020000 ; 9.05228 ; 3.29994 ; 0 ; 0
187123000 ; 9.03645 ; 3.29849 ; 0 ; 0
187234000 ; 9.02427 ; 3.29727 ; 0 ; 0
187329000 ; 9.05958 ; 3.29857 ; 0 ; 0
187436000 ; 9.03036 ; 3.29819 ; 0 ; 0
187536000 ; 10.2697 ; 3.2988 ; 0 ; 0
187637000 ; 9.02671 ; 3.29933 ; 0 ; 0
187727000 ; 29.2657 ; 3.29918 ; 0 ; 0
187825000 ; 9.05106 ; 3.29918 ; 0 ; 0
187930000 ; 9.04497 ; 3.29834 ; 0 ; 0
188036000 ; 9.0328 ; 3.29903 ; 0 ; 0
188144000 ; 29.1939 ; 3.29994 ; 0 ; 0
188247000 ; 9.03401 ; 3.2988 ; 0 ; 0
188345000 ; 29.032 ; 3.29887 ; 0 ; 0
188443000 ; 9.04741 ; 3.29849 ; 0 ; 0
188541000 ; 9.0328 ; 3.29872 ; 0 ; 0
188632000 ; 33.2663 ; 3.30376 ; 0 ; 0
188729000 ; 9.05106 ; 3.29857 ; 0 ; 0
188834000 ; 9.06445 ; 3.29948 ; 0 ; 0
188937000 ; 9.03888 ; 3.29872 ; 0 ; 0
189038000 ; 9.16672 ; 3.2988 ; 0 ; 0
189138000 ; 9.03401 ; 3.29857 ; 0 ; 0
189240000 ; 9.03158 ; 3.2988 ; 0 ; 0
189351000 ; 9.04254 ; 3.29918 ; 0 ; 0
189443000 ; 9.0328 ; 3.29842 ; 0 ; 0
189540000 ; 9.02184 ; 3.29865 ; 0 ; 0
189634000 ; 29.032 ; 3.30185 ; 0 ; 0
189742000 ; 9.03036 ; 3.29819 ; 0 ; 0
189835000 ; 28.7373 ; 3.3017 ; 0 ; 0
189938000 ; 9.03767 ; 3.29903 ; 0 ; 0
190041000 ; 9.03645 ; 3.29964 ; 0 ; 0
190142000 ; 9.04862 ; 3.29834 ; 0 ; 0
190242000 ; 9.04375 ; 3.29872 ; 0 ; 0
190340000 ; 9.04619 ; 3.29872 ; 0 ; 0
190441000 ; 9.02306 ; 3.29903 ; 0 ; 0
190550000 ; 9.03401 ; 3.29796 ; 0 ; 0
190654000 ; 9.04984 ; 3.2972 ; 0 ; 0
190744000 ; 9.07906 ; 3.2988 ; 0 ; 0
190844000 ; 9.02671 ; 3.29811 ; 0 ; 0
190942000 ; 9.05106 ; 3.3007 ; 0 ; 0
191039000 ; 9.04497 ; 3.30124 ; 0 ; 0
191141000 ; 9.03523 ; 3.29887 ; 0 ; 0
191242000 ; 9.04132 ; 3.29857 ; 0 ; 0
191345000 ; 28.7446 ; 3.29918 ; 0 ; 0
191444000 ; 9.02914 ; 3.29849 ; 0 ; 0
191555000 ; 29.1525 ; 3.29918 ; 0 ; 0
191659000 ; 9.03158 ; 3.29918 ; 0 ; 0
191765000 ; 29.4532 ; 3.29926 ; 0 ; 0
191867000 ; 9.05349 ; 3.29926 ; 0 ; 0
191966000 ; 28.4062 ; 3.29842 ; 0 ; 0
192059000 ; 9.05349 ; 3.2991 ; 0 ; 0
192159000 ; 9.05715 ; 3.29849 ; 0 ; 0
192255000 ; 32.2485 ; 3.29987 ; 0 ; 0
192348000 ; 9.0328 ; 3.29895 ; 0 ; 0
192443000 ; 9.04132 ; 3.29857 ; 0 ; 0
192534000 ; 9.04619 ; 3.29826 ; 0 ; 0
192636000 ; 29.5969 ; 3.29987 ; 0 ; 0
192744000 ; 9.04862 ; 3.29826 ; 0 ; 0
192845000 ; 29.4422 ; 3.3007 ; 0 ; 0
192940000 ; 9.04375 ; 3.29819 ; 0 ; 0
193042000 ; 9.03036 ; 3.29895 ; 0 ; 0
193148000 ; 9.05471 ; 3.29956 ; 0 ; 0
193254000 ; 28.853 ; 3.29895 ; 0 ; 0
193362000 ; 9.02671 ; 3.29849 ; 0 ; 0
